layer,sublayer,elements,ref_bytes,quant_bytes,compression_ratio,mean_ref,mean_quant,mean_error,mean_abs_ref,mean_abs_quant,mae,mean_abs_relative_error,rmse,rms_ref,relative_l2_error,cosine_similarity,snr_db,max_abs_error,max_abs_error_index,ref_at_max_abs_error,quant_at_max_abs_error
,attn_v.weight,6291456,12582912,6684672,1.8823529411764706,-3.0842736798942713e-06,-3.078097212968108e-06,6.1764669261633416e-09,0.011665441157103967,0.011665353703383138,8.409912194681819e-05,0.0072092534533598745,0.00011472226524132999,0.01663034200941629,0.006898370771711907,0.9999762081098402,43.225069340047796,0.002117156982421875,1014970,0.01080322265625,0.012920379638671875
,ssm_beta.weight,589824,1179648,626688,1.8823529411764706,-0.0001901599095022435,-0.0001902094645629404,-4.955506069690172e-08,0.008566813312541733,0.008566784599073193,6.122125393659417e-05,0.007146327543634788,7.994290496021413e-05,0.01187121144119338,0.006734182552153894,0.9999773274319194,43.43430229617721,0.0007963180541992188,14495,0.023193359375,0.02398967742919922
,ssm_alpha.weight,589824,1179648,626688,1.8823529411764706,-0.0001865639976228708,-0.00018689411020507882,-3.301125822079914e-07,0.014746374289683494,0.01474642345763439,9.533450019125509e-05,0.0064649450989421,0.00012304732591725346,0.020027058052214445,0.0061440539891802915,0.9999811271684504,44.230899534335364,0.000946044921875,6710,-0.01104736328125,-0.011993408203125
,attn_k.weight,6291456,12582912,6684672,1.8823529411764706,-5.882102468302239e-07,-5.474374423405001e-07,4.0772804489723945e-08,0.00847171037980575,0.008471744307219828,5.5089683823603707e-05,0.006502781770600009,7.005403286353186e-05,0.011425416114673197,0.00613142069929202,0.9999812041434994,44.24877768622123,0.000720977783203125,681175,0.002197265625,0.001476287841796875
,attn_output.weight,25165824,50331648,26738688,1.8823529411764706,2.00217287670652e-06,1.9859280513401245e-06,-1.624482536639535e-08,0.010398830936081951,0.01039890113828316,6.418437647817731e-05,0.006172268486015079,8.084282096211456e-05,0.013963615450140757,0.005789533609742857,0.9999832418250786,44.74712841067877,0.0014190673828125,2461452,-0.00714111328125,-0.0057220458984375
,token_embd.weight,508559360,1017118720,540344320,1.8823529411764706,9.870771206649511e-06,9.875448948914897e-06,4.677742265384916e-09,0.011707553335609864,0.011707712651842209,7.069774074956868e-05,0.006038643491337631,8.580249665216979e-05,0.015007928633636288,0.005717144500531957,0.9999836584769315,44.856416617528154,0.000774383544921875,451446,-0.042724609375,-0.043498992919921875
,attn_q.weight,50331648,100663296,53477376,1.8823529411764706,1.530627617797236e-05,1.5314598096930847e-05,8.321918958485488e-09,0.010184052549584346,0.0101841283672357,6.125972920407226e-05,0.006015260516951332,7.671954538238954e-05,0.013536468879586575,0.005667618790753109,0.9999839401334576,44.93198736976187,0.001232147216796875,5347202,0.02392578125,0.022693634033203125
,ssm_out.weight,75497472,150994944,80216064,1.8823529411764706,8.78976925907304e-07,8.8237922726522e-07,3.40230135791601e-09,0.008916862791611288,0.008916934549833715,5.36241530098243e-05,0.006013791426764161,6.643219726750755e-05,0.011722188496879166,0.0056672179674634995,0.9999839424797854,44.932601671834966,0.002170562744140625,2460838,0.036865234375,0.039035797119140625
,attn_qkv.weight,226492416,452984832,240648192,1.8823529411764706,-1.6538052307833436e-07,-1.6860202623337063e-07,-3.2215031550362654e-09,0.012621306311526685,0.012621449652284181,7.503815452786049e-05,0.0059453556292608355,9.373098243041035e-05,0.016605895795840975,0.005644439997864235,0.999984071315598,44.967582785680584,0.001667022705078125,9418530,-0.045654296875,-0.043987274169921875
,ffn_gate.weight,301989888,603979776,320864256,1.8823529411764706,2.5070812801225057e-05,2.5078016137985377e-05,7.2033367603185445e-09,0.00881460574649578,0.008814692920599713,5.152984793833892e-05,0.005845961738994902,6.425651517120268e-05,0.011552929581023748,0.005561923901686993,0.9999845335833002,45.09549914907584,0.001628875732421875,7137206,0.0017547607421875,0.003383636474609375
